DATE,FORMAT,IMPRESSIONS,REACTIONS,COMMENTS,SHARES,CLICKS,VIDEO-VIEWS
10-Apr-26,Video,19,1,0,0,2,4
8-Apr-26,Image,15,1,0,0,0,0
6-Apr-26,Image,7,1,0,0,0,0
3-Apr-26,Video,4,1,0,0,0,1
1-Apr-26,Image,8,2,0,0,0,0
30-Mar-26,Image,13,1,0,0,0,0
27-Mar-26,Image,13,2,0,0,0,0
25-Mar-26,Link,11,2,0,0,0,0
23-Mar-26,Video,10,2,0,0,0,3
20-Mar-26,Link,15,2,0,0,0,0
20-Mar-26,Image,7,2,0,0,0,0
18-Mar-26,Image,15,3,0,0,1,0
16-Mar-26,Image,9,2,0,0,0,0
13-Mar-26,Image,9,2,0,0,0,0
9-Mar-26,Image,17,2,0,0,2,0
6-Mar-26,Link,12,2,0,0,1,0
4-Mar-26,Image,23,3,0,0,0,0
2-Mar-26,Video,14,2,0,0,2,6
27-Feb-26,Image,11,2,0,0,2,0
25-Feb-26,Image,10,2,0,0,0,0
25-Feb-26,Image,8,2,0,0,0,0
23-Feb-26,Video,9,2,0,0,0,1
20-Feb-26,Image,21,2,0,0,2,0
18-Feb-26,Image,14,1,0,0,2,0
14-Feb-26,Image,22,2,0,0,1,0
11-Feb-26,Video,10,1,0,0,0,2
9-Feb-26,Multi-Image,17,1,0,0,0,0
6-Feb-26,Image,13,1,0,0,0,0
2-Feb-26,Image,16,3,0,0,1,0
29-Jan-26,Image,18,3,0,0,0,0
27-Jan-26,Image,634,49,1,1,57,0
22-Jan-26,Image,32,3,0,0,2,0
20-Jan-26,Image,21,2,0,0,0,0
15-Jan-26,Image,20,2,0,0,1,0
13-Jan-26,Image,11,2,0,0,0,0
8-Jan-26,Image,29,2,0,0,1,0
6-Jan-26,Image,15,1,0,0,0,0
1-Jan-26,Image,13,1,0,0,1,0
30-Dec-25,Image,12,1,0,0,1,0
25-Dec-25,Image,8,1,0,0,0,0
23-Dec-25,Image,8,0,0,0,0,0
18-Dec-25,Image,6,0,0,0,0,0
16-Dec-25,Image,4,0,0,0,0,0
11-Dec-25,Image,14,1,0,0,0,0
9-Dec-25,Image,5,0,0,0,0,0
5-Dec-25,Simple Status,6,0,0,0,0,0
4-Dec-25,Image,12,0,0,0,0,0
2-Dec-25,Image,0,0,0,0,0,0
