DATE,FORMAT,IMPRESSIONS,REACTIONS,COMMENTS,SHARES,CLICKS,VIDEO-VIEWS
30-Dec-25, Image,12,1,0,0,1,0
10:02 AM CST,,,,,,,
,,,,,,,
,,,,,,,
25-Dec-25, Image,8,1,0,0,0,0
10:00 AM CST,,,,,,,
,,,,,,,
,,,,,,,
23-Dec-25, Image,8,0,0,0,0,0
10:00 AM CST,,,,,,,
,,,,,,,
,,,,,,,
18-Dec-25, Image,6,0,0,0,0,0
10:02 AM CST,,,,,,,
,,,,,,,
,,,,,,,
16-Dec-25, Image,4,0,0,0,0,0
10:00 AM CST,,,,,,,
,,,,,,,
,,,,,,,
11-Dec-25, Image,14,1,0,0,0,0
10:01 AM CST,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
9-Dec-25, Image,5,0,0,0,0,0
10:01 AM CST,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5-Dec-25, Simple Status,6,0,0,0,0,0
11:22 AM CST,,,,,,,
4-Dec-25, Image,12,0,0,0,0,0
10:00 AM CST,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2-Dec-25, Image,0,0,0,0,0,0
10:00 AM CST,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
29-Jan-26, Image,18,3,0,0,0,0
10:00 AM CST,,,,,,,
,,,,,,,
,,,,,,,
27-Jan-26, Image,628,49,1,1,57,0
10:02 AM CST,,,,,,,
,,,,,,,
,,,,,,,
22-Jan-26, Image,32,3,0,0,2,0
10:01 AM CST,,,,,,,
,,,,,,,
,,,,,,,
20-Jan-26, Image,21,2,0,0,0,0
10:01 AM CST,,,,,,,
,,,,,,,
,,,,,,,
15-Jan-26, Image,20,2,0,0,1,0
10:00 AM CST,,,,,,,
,,,,,,,
13-Jan-26, Image,11,2,0,0,0,0
10:00 AM CST,,,,,,,
,,,,,,,
,,,,,,,
8-Jan-26, Image,28,2,0,0,1,0
10:00 AM CST,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
6-Jan-26, Image,15,1,0,0,0,0
10:00 AM CST,,,,,,,
,,,,,,,
,,,,,,,
1-Jan-26, Image,13,1,0,0,1,0
10:01 AM CST,,,,,,,
,,,,,,,
,,,,,,,
27-Feb-26, Image,11,1,0,0,2,0
10:11 AM CST,,,,,,,
,,,,,,,
,,,,,,,
25-Feb-26, Image,10,1,0,0,0,0
11:41 AM CST,,,,,,,
,,,,,,,
,,,,,,,
25-Feb-26, Image,8,1,0,0,0,0
10:07 AM CST,,,,,,,
,,,,,,,
23-Feb-26, Video,8,1,0,0,0,1
10:10 AM CST,,,,,,,
,,,,,,,
,,,,,,,
20-Feb-26, Image,21,1,0,0,2,0
10:06 AM CST,,,,,,,
,,,,,,,
18-Feb-26, Image,14,1,0,0,2,0
10:00 AM CST,,,,,,,
,,,,,,,
,,,,,,,
14-Feb-26, Image,22,2,0,0,1,0
10:05 AM CST,,,,,,,
,,,,,,,
,,,,,,,
11-Feb-26, Video,10,1,0,0,0,2
10:02 AM CST,,,,,,,
,,,,,,,
9-Feb-26, Multi-Image,16,1,0,0,0,0
10:00 AM CST,,,,,,,
,,,,,,,
,,,,,,,
6-Feb-26, Image,13,1,0,0,0,0
10:02 AM CST,,,,,,,
,,,,,,,
,,,,,,,
2-Feb-26, Image,16,3,0,0,1,0
10:00 AM CST,,,,,,,
,,,,,,,
27-Mar-26, Image,9,1,0,0,0,0
12:35 PM CDT,,,,,,,
,,,,,,,
,,,,,,,
25-Mar-26, Link,8,1,0,0,0,0
12:34 PM CDT,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
23-Mar-26, Video,9,1,0,0,0,3
12:31 PM CDT,,,,,,,
,,,,,,,
,,,,,,,
20-Mar-26, Link,15,1,0,0,0,0
12:33 PM CDT,,,,,,,
,,,,,,,
,,,,,,,
20-Mar-26, Image,7,1,0,0,0,0
12:15 PM CDT,,,,,,,
,,,,,,,
,,,,,,,
18-Mar-26, Image,15,2,0,0,1,0
1:08 PM CDT,,,,,,,
,,,,,,,
,,,,,,,
16-Mar-26, Image,9,1,0,0,0,0
12:13 PM CDT,,,,,,,
,,,,,,,
,,,,,,,
13-Mar-26, Image,9,1,0,0,0,0
12:17 PM CDT,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
9-Mar-26, Image,17,1,0,0,2,0
10:11 AM CDT,,,,,,,
,,,,,,,
,,,,,,,
6-Mar-26, Link,12,1,0,0,1,0
12:42 PM CST,,,,,,,
,,,,,,,
,,,,,,,
4-Mar-26, Image,23,3,0,0,0,0
10:48 AM CST,,,,,,,
,,,,,,,
,,,,,,,
2-Mar-26, Video,12,1,0,0,2,5
10:07 AM CST,,,,,,,
,,,,,,,
,,,,,,,
