Date,Platform,Format,ICP_Segment,Content_Pillar,Conversions
2025-12-02,Facebook,Image,,Thought Leadership & Industry Insights,0
2025-12-02,Instagram,Image,,,0
2025-12-02,LinkedIn,Link,,Thought Leadership & Industry Insights,0
2025-12-04,Facebook,Image,,Thought Leadership & Industry Insights,0
2025-12-04,LinkedIn,Link,,Thought Leadership & Industry Insights,0
2025-12-05,Facebook,Simple Status,,,0
2025-12-07,Instagram,Image,,,0
2025-12-07,Instagram,Image,,,0
2025-12-09,Facebook,Image,,Team Spotlights & Company Culture,0
2025-12-09,LinkedIn,Image,,Team Spotlights & Company Culture,0
2025-12-10,Instagram,Image,,,0
2025-12-11,Facebook,Image,,Team Spotlights & Company Culture,0
2025-12-11,LinkedIn,Image,,Team Spotlights & Company Culture,0
2025-12-12,Instagram,Image,,,0
2025-12-16,Facebook,Image,,Thought Leadership & Industry Insights,0
2025-12-16,LinkedIn,Image,,Thought Leadership & Industry Insights,0
2025-12-18,Facebook,Image,,Thought Leadership & Industry Insights,0
2025-12-18,LinkedIn,Image,,Thought Leadership & Industry Insights,0
2025-12-21,Instagram,Image,,,0
2025-12-21,Instagram,Image,,,0
2025-12-23,Facebook,Image,,Events & Partnerships,0
2025-12-23,Instagram,Image,,Events & Partnerships,0
2025-12-23,LinkedIn,Image,,Events & Partnerships,0
2025-12-25,Facebook,Image,,Events & Partnerships,0
2025-12-25,Instagram,Image,,Events & Partnerships,0
2025-12-25,LinkedIn,Image,,Events & Partnerships,0
2025-12-26,LinkedIn,Simple Status,,,0
2025-12-30,Facebook,Image,,Thought Leadership & Industry Insights,0
2025-12-30,Instagram,Image,,Thought Leadership & Industry Insights,0
2025-12-30,LinkedIn,Image,,Thought Leadership & Industry Insights,0
2026-01-01,Facebook,Image,,Thought Leadership & Industry Insights,0
2026-01-01,Instagram,Image,,Thought Leadership & Industry Insights,0
2026-01-01,LinkedIn,Image,,Thought Leadership & Industry Insights,0
2026-01-06,Facebook,Image,,Team Spotlights & Company Culture,0
2026-01-06,Instagram,Image,,Team Spotlights & Company Culture,0
2026-01-06,LinkedIn,Image,,Team Spotlights & Company Culture,0
2026-01-08,Facebook,Image,,Patient-Centered Storytelling,0
2026-01-08,Instagram,Image,,Patient-Centered Storytelling,0
2026-01-08,LinkedIn,Image,,Patient-Centered Storytelling,0
2026-01-13,Facebook,Image,,Thought Leadership & Industry Insights,0
2026-01-13,Instagram,Image,,Thought Leadership & Industry Insights,0
2026-01-13,LinkedIn,Image,,Thought Leadership & Industry Insights,0
2026-01-15,Facebook,Image,,Events & Partnerships,0
2026-01-15,Instagram,Image,,Events & Partnerships,0
2026-01-15,LinkedIn,Image,,Events & Partnerships,0
2026-01-20,Facebook,Image,,Team Spotlights & Company Culture,0
2026-01-20,Instagram,Image,,Team Spotlights & Company Culture,0
2026-01-20,LinkedIn,Image,,Team Spotlights & Company Culture,0
2026-01-22,Facebook,Image,,Team Spotlights & Company Culture,0
2026-01-22,Instagram,Image,,Team Spotlights & Company Culture,0
2026-01-22,LinkedIn,Image,,Team Spotlights & Company Culture,0
2026-01-27,Facebook,Image,,Team Spotlights & Company Culture,0
2026-01-27,Instagram,Carousel,,Team Spotlights & Company Culture,0
2026-01-27,LinkedIn,Image,,Team Spotlights & Company Culture,0
2026-01-29,Facebook,Image,,Team Spotlights & Company Culture,0
2026-01-29,Instagram,Image,,Team Spotlights & Company Culture,0
2026-01-29,LinkedIn,Image,,Team Spotlights & Company Culture,0
2026-01-30,LinkedIn,Simple Status,,,0
2026-02-02,Facebook,Image,,Team Spotlights & Company Culture,0
2026-02-02,Instagram,Image,,Team Spotlights & Company Culture,0
2026-02-02,LinkedIn,Image,,Team Spotlights & Company Culture,0
2026-02-04,LinkedIn,Image,,Patient-Centered Storytelling,0
2026-02-06,Facebook,Image,,Team Spotlights & Company Culture,0
2026-02-06,Instagram,Image,,Team Spotlights & Company Culture,0
2026-02-06,LinkedIn,Image,,Team Spotlights & Company Culture,0
2026-02-09,Facebook,Multi-Image,,Team Spotlights & Company Culture,0
2026-02-09,Instagram,Carousel,,Team Spotlights & Company Culture,0
2026-02-09,LinkedIn,Image,,Team Spotlights & Company Culture,0
2026-02-11,Facebook,Video,,Thought Leadership & Industry Insights,0
2026-02-11,Instagram,Video,,Thought Leadership & Industry Insights,0
2026-02-11,LinkedIn,Link,,Thought Leadership & Industry Insights,0
2026-02-14,Facebook,Image,Oncology Clinic Leader,Patient-Centered Storytelling,0
2026-02-14,Instagram,Image,Oncology Clinic Leader,Patient-Centered Storytelling,0
2026-02-14,LinkedIn,Image,Oncology Clinic Leader,Patient-Centered Storytelling,0
2026-02-16,LinkedIn,Image,,Thought Leadership & Industry Insights,0
2026-02-18,Facebook,Image,,Team Spotlights & Company Culture,0
2026-02-18,Instagram,Image,,Team Spotlights & Company Culture,0
2026-02-18,LinkedIn,Image,,Team Spotlights & Company Culture,0
2026-02-20,Facebook,Image,Oncology Clinic Leader,Thought Leadership & Industry Insights,0
2026-02-20,Instagram,Image,Oncology Clinic Leader,Thought Leadership & Industry Insights,0
2026-02-20,LinkedIn,Image,Oncology Clinic Leader,Thought Leadership & Industry Insights,0
2026-02-23,Facebook,Video,Oncology Operations Leader,Thought Leadership & Industry Insights,0
2026-02-23,Instagram,Video,Oncology Operations Leader,Thought Leadership & Industry Insights,0
2026-02-23,LinkedIn,Video,Oncology Operations Leader,Thought Leadership & Industry Insights,0
2026-02-25,Facebook,Image,Oncology Clinic Leader,Events & Partnerships,0
2026-02-25,Facebook,Image,,,0
2026-02-25,Instagram,Image,Oncology Clinic Leader,Events & Partnerships,0
2026-02-25,LinkedIn,Image,Oncology Clinic Leader,Events & Partnerships,0
2026-02-27,Facebook,Image,Oncology Operations Leader,Thought Leadership & Industry Insights,0
2026-02-27,Instagram,Image,Oncology Operations Leader,Thought Leadership & Industry Insights,0
2026-02-27,LinkedIn,Image,Oncology Operations Leader,Thought Leadership & Industry Insights,0
2026-03-02,Facebook,Video,Oncology Operations Leader,Events & Partnerships,0
2026-03-02,Instagram,Video,Oncology Operations Leader,Events & Partnerships,0
2026-03-02,LinkedIn,Video,Oncology Operations Leader,Events & Partnerships,0
2026-03-04,Facebook,Image,Oncology Clinic Leader,Patient-Centered Storytelling,0
2026-03-04,Instagram,Image,Oncology Clinic Leader,Patient-Centered Storytelling,0
2026-03-04,LinkedIn,Image,Oncology Clinic Leader,Patient-Centered Storytelling,0
2026-03-06,Facebook,Link,Oncology Operations Leader,Events & Partnerships,0
2026-03-06,Instagram,Image,Oncology Operations Leader,Events & Partnerships,0
2026-03-06,LinkedIn,Link,Oncology Operations Leader,Events & Partnerships,0
2026-03-09,Facebook,Image,Oncology Operations Leader,Events & Partnerships,0
2026-03-09,Instagram,Image,Oncology Operations Leader,Events & Partnerships,0
2026-03-09,LinkedIn,Image,Oncology Operations Leader,Events & Partnerships,0
2026-03-13,Facebook,Image,,Team Spotlights & Company Culture,0
2026-03-13,Instagram,Image,,Team Spotlights & Company Culture,0
2026-03-13,LinkedIn,Image,,Team Spotlights & Company Culture,0
2026-03-16,Facebook,Image,Oncology Technical Leader,Thought Leadership & Industry Insights,0
2026-03-16,Instagram,Image,Oncology Technical Leader,Thought Leadership & Industry Insights,0
2026-03-16,LinkedIn,Image,Oncology Technical Leader,Thought Leadership & Industry Insights,0
2026-03-18,Facebook,Image,Oncology Operations Leader,Events & Partnerships,0
2026-03-18,Instagram,Image,Oncology Operations Leader,Events & Partnerships,0
2026-03-18,LinkedIn,Image,Oncology Operations Leader,Events & Partnerships,0
2026-03-20,Facebook,Link,Oncology Operations Leader,Thought Leadership & Industry Insights,0
2026-03-20,Facebook,Image,Oncology Operations Leader,Thought Leadership & Industry Insights,0
2026-03-20,Instagram,Image,Oncology Operations Leader,Thought Leadership & Industry Insights,0
2026-03-20,Instagram,Image,Oncology Operations Leader,Thought Leadership & Industry Insights,0
2026-03-20,LinkedIn,Link,Oncology Operations Leader,Thought Leadership & Industry Insights,0
2026-03-20,LinkedIn,Image,Oncology Operations Leader,Thought Leadership & Industry Insights,0
2026-03-21,LinkedIn,Simple Status,,,0
2026-03-23,Facebook,Video,Oncology Technical Leader,Team Spotlights & Company Culture,0
2026-03-23,Instagram,Video,Oncology Technical Leader,Team Spotlights & Company Culture,0
2026-03-23,LinkedIn,Video,Oncology Technical Leader,Team Spotlights & Company Culture,0
2026-03-25,Facebook,Link,Oncology Operations Leader,Thought Leadership & Industry Insights,0
2026-03-25,Instagram,Image,Oncology Operations Leader,Thought Leadership & Industry Insights,0
2026-03-25,LinkedIn,Link,Oncology Operations Leader,Thought Leadership & Industry Insights,0
2026-03-27,Facebook,Image,Oncology Technical Leader,Team Spotlights & Company Culture,0
2026-03-27,Instagram,Image,Oncology Technical Leader,Team Spotlights & Company Culture,0
2026-03-27,LinkedIn,Image,Oncology Technical Leader,Team Spotlights & Company Culture,0
2026-03-30,Facebook,Image,Oncology Clinic Leader,Patient-Centered Storytelling,0
2026-03-30,Instagram,Image,Oncology Clinic Leader,Patient-Centered Storytelling,0
2026-03-30,LinkedIn,Image,Oncology Clinic Leader,Patient-Centered Storytelling,0
2026-04-01,Facebook,Image,Oncology Clinic Leader,Team Spotlights & Company Culture,0
2026-04-01,Instagram,Image,Oncology Clinic Leader,Team Spotlights & Company Culture,0
2026-04-01,LinkedIn,Image,Oncology Clinic Leader,Team Spotlights & Company Culture,0
2026-04-03,Facebook,Video,Oncology Operations Leader,,0
2026-04-03,Instagram,Video,Oncology Operations Leader,,0
2026-04-03,LinkedIn,Video,Oncology Operations Leader,,0
2026-04-06,Facebook,Image,Oncology Operations Leader,Events & Partnerships,0
2026-04-06,Instagram,Image,Oncology Operations Leader,Events & Partnerships,0
2026-04-06,LinkedIn,Image,Oncology Operations Leader,Events & Partnerships,0
2026-04-08,Facebook,Image,Oncology Clinic Leader,Team Spotlights & Company Culture,0
2026-04-08,Instagram,Image,Oncology Clinic Leader,Team Spotlights & Company Culture,0
2026-04-08,LinkedIn,Image,Oncology Clinic Leader,Team Spotlights & Company Culture,0
2026-04-10,Facebook,Video,Oncology Operations Leader,Patient-Centered Storytelling,0
2026-04-10,Instagram,Video,Oncology Operations Leader,Patient-Centered Storytelling,0
2026-04-10,LinkedIn,Video,Oncology Operations Leader,Patient-Centered Storytelling,0
